"wallMessages","robotMessages","tick"
121843.0,86388.0,522.0
121909.0,86388.0,523.0
121977.0,86390.0,524.0
122048.0,86406.0,525.0
122177.0,86653.0,526.0
122242.0,86653.0,527.0
122314.0,86671.0,528.0
122378.0,86671.0,529.0
122505.0,86914.0,530.0
122574.0,86929.0,531.0
122639.0,86931.0,532.0
122702.0,86931.0,533.0
122832.0,87184.0,534.0
122894.0,87184.0,535.0
122958.0,87186.0,536.0
123024.0,87199.0,537.0
123146.0,87434.0,538.0
123207.0,87434.0,539.0
123274.0,87449.0,540.0
123334.0,87449.0,541.0
123454.0,87680.0,542.0
123518.0,87692.0,543.0
123579.0,87694.0,544.0
123638.0,87694.0,545.0
123760.0,87932.0,546.0
123818.0,87932.0,547.0
123878.0,87934.0,548.0
123939.0,87944.0,549.0
124054.0,88167.0,550.0
124111.0,88167.0,551.0
124173.0,88179.0,552.0
124229.0,88179.0,553.0
124342.0,88398.0,554.0
124401.0,88407.0,555.0
124458.0,88409.0,556.0
124513.0,88409.0,557.0
124627.0,88632.0,558.0
124681.0,88632.0,559.0
124737.0,88634.0,560.0
124793.0,88641.0,561.0
124901.0,88852.0,562.0
124954.0,88852.0,563.0
125011.0,88861.0,564.0
125063.0,88861.0,565.0
125169.0,89068.0,566.0
125223.0,89074.0,567.0
125276.0,89076.0,568.0
125327.0,89076.0,569.0
125433.0,89284.0,570.0
125483.0,89284.0,571.0
125535.0,89286.0,572.0
125586.0,89290.0,573.0
125687.0,89489.0,574.0
125736.0,89489.0,575.0
125788.0,89495.0,576.0
125836.0,89495.0,577.0
125935.0,89690.0,578.0
125984.0,89693.0,579.0
126033.0,89695.0,580.0
126080.0,89695.0,581.0
126178.0,89888.0,582.0
126224.0,89888.0,583.0
126272.0,89890.0,584.0
126318.0,89890.0,585.0
126414.0,90079.0,586.0
126459.0,90079.0,587.0
126506.0,90081.0,588.0
126551.0,90081.0,589.0
126645.0,90266.0,590.0
126689.0,90266.0,591.0
126735.0,90268.0,592.0
126779.0,90268.0,593.0
126871.0,90449.0,594.0
126914.0,90449.0,595.0
126959.0,90451.0,596.0
127002.0,90451.0,597.0
127092.0,90628.0,598.0
127134.0,90628.0,599.0
127178.0,90630.0,600.0
127220.0,90630.0,601.0
127308.0,90803.0,602.0
127349.0,90803.0,603.0
127392.0,90805.0,604.0
127433.0,90805.0,605.0
127476.0,90807.0,606.0
127560.0,90974.0,607.0
127600.0,90974.0,608.0
127640.0,90974.0,609.0
127682.0,90976.0,610.0
127764.0,91139.0,611.0
127803.0,91139.0,612.0
127846.0,91143.0,613.0
127885.0,91143.0,614.0
127966.0,91302.0,615.0
128005.0,91302.0,616.0
128047.0,91308.0,617.0
128085.0,91308.0,618.0
128164.0,91463.0,619.0
128203.0,91466.0,620.0
128242.0,91468.0,621.0
128279.0,91468.0,622.0
128357.0,91621.0,623.0
128393.0,91621.0,624.0
128431.0,91623.0,625.0
128467.0,91623.0,626.0
128543.0,91772.0,627.0
128578.0,91772.0,628.0
128615.0,91774.0,629.0
128650.0,91774.0,630.0
128724.0,91919.0,631.0
128758.0,91919.0,632.0
128794.0,91921.0,633.0
128828.0,91921.0,634.0
128900.0,92062.0,635.0
128933.0,92062.0,636.0
128968.0,92064.0,637.0
129001.0,92064.0,638.0
129036.0,92066.0,639.0
129069.0,92066.0,640.0
129102.0,92066.0,641.0
129135.0,92066.0,642.0
129168.0,92066.0,643.0
129201.0,92066.0,644.0
129234.0,92066.0,645.0
129267.0,92066.0,646.0
129300.0,92066.0,647.0
129333.0,92066.0,648.0
129366.0,92066.0,649.0
129399.0,92066.0,650.0
129432.0,92066.0,651.0
129465.0,92066.0,652.0
129498.0,92066.0,653.0
129531.0,92066.0,654.0
129564.0,92066.0,655.0
129632.0,92201.0,656.0
129664.0,92201.0,657.0
129696.0,92201.0,658.0
129728.0,92201.0,659.0
129793.0,92330.0,660.0
129825.0,92330.0,661.0
129857.0,92330.0,662.0
129889.0,92330.0,663.0
129953.0,92455.0,664.0
129985.0,92455.0,665.0
130017.0,92455.0,666.0
130049.0,92455.0,667.0
130081.0,92455.0,668.0
130144.0,92576.0,669.0
130176.0,92576.0,670.0
130208.0,92576.0,671.0
130240.0,92576.0,672.0
130302.0,92693.0,673.0
130334.0,92693.0,674.0
130372.0,92704.0,675.0
130403.0,92704.0,676.0
130468.0,92825.0,677.0
130499.0,92825.0,678.0
130534.0,92832.0,679.0
130565.0,92832.0,680.0
130624.0,92941.0,681.0
130659.0,92948.0,682.0
130690.0,92948.0,683.0
130724.0,92953.0,684.0
130755.0,92953.0,685.0
130816.0,93062.0,686.0
130847.0,93062.0,687.0
130880.0,93065.0,688.0
130911.0,93065.0,689.0
130968.0,93166.0,690.0
131001.0,93169.0,691.0
131032.0,93169.0,692.0
131064.0,93169.0,693.0
131132.0,93287.0,694.0
131162.0,93287.0,695.0
131202.0,93303.0,696.0
131233.0,93303.0,697.0
131297.0,93413.0,698.0
131327.0,93413.0,699.0
131358.0,93413.0,700.0
131397.0,93428.0,701.0
131452.0,93519.0,702.0
131489.0,93532.0,703.0
131520.0,93532.0,704.0
131558.0,93545.0,705.0
131612.0,93632.0,706.0
131648.0,93643.0,707.0
131679.0,93643.0,708.0
131710.0,93643.0,709.0
131769.0,93737.0,710.0
131799.0,93737.0,711.0
131836.0,93747.0,712.0
131867.0,93747.0,713.0
131933.0,93861.0,714.0
131962.0,93861.0,715.0
131997.0,93869.0,716.0
132036.0,93896.0,717.0
132089.0,93978.0,718.0
132117.0,93978.0,719.0
132160.0,94013.0,720.0
132188.0,94013.0,721.0
132238.0,94089.0,722.0
132265.0,94089.0,723.0
132307.0,94125.0,724.0
132334.0,94125.0,725.0
132381.0,94195.0,726.0
132418.0,94228.0,727.0
132446.0,94230.0,728.0
132472.0,94230.0,729.0
132511.0,94265.0,730.0
132537.0,94265.0,731.0
132563.0,94265.0,732.0
132600.0,94299.0,733.0
132642.0,94362.0,734.0
132666.0,94362.0,735.0
132690.0,94362.0,736.0
132724.0,94393.0,737.0
132762.0,94450.0,738.0
